Content,Video title,Video publish time,Duration,Average view duration,Stayed to watch (%),Average percentage viewed (%),New viewers,Regular viewers,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
j-WqOLvxtxQ,Urfi Devi Ka Comeback 🤣,"Jan 29, 2026",30,0:00:22,83.05,74.86,,,18943,77.1732,25,7843,7.84
wABQetHqJxI,Bhai Behen Ya Couple 🤣,"Dec 12, 2025",32,0:00:28,82.98,87.56,,,28448,130.9192,21,3238,2.47
TMKiYeAa7ro,Best Makeup Transitions 🤣,"Dec 16, 2025",36,0:00:29,82.85,81.93,,,26282,135.3271,43,3887,3.45
d9CL60BTVRI,Biggest Heart Break 🤣,"Dec 10, 2025",36,0:00:30,82.8,85.87,,,32477,166.4728,70,3383,3.52
66VoiD8rDN4,Biggest No 1 Chappri Is Back 🤣,"Dec 2, 2025",34,0:00:29,82.71,87.05,,,29633,152.5383,213,3140,6.69
L1GALfYU1qc,Too Much Attitude 🤣,"May 31, 2026",33,0:00:26,82.63,79.18,,,27747,118.8653,245,3595,2.84
RjJTsjUbvWw,Ajeeb Chapri Hai 🤣,"Dec 2, 2025",32,0:00:25,82.5,79.21,,,28199,126.7478,140,2995,3.11
ovzTHABOIJ0,Power Of Bihari 🤣,"Mar 3, 2026",33,0:00:23,82.43,70.31,,,279579,1210.3488,14103,11460,3.77
IEwxKdRW5J8,Puneet Superstar Ka Breakfast 🤣,"Dec 16, 2025",35,0:00:28,82.4,80.83,,,20759,105.2102,56,5709,3.98
L2JgTHaQHwY,Biggest Chappri Bahu 🤣,"Dec 12, 2025",33,0:00:25,82.39,77.55,,,15737,71.8162,26,3142,2.83
KbjS91adDfc,Dukan Kharid Liya 2 🤣,"Jan 19, 2026",31,0:00:27,82.28,87.54,,,35564,171.6471,73,6774,3.4
s7GwazsGufI,Biwi No 2 🤣,"Nov 26, 2025",24,0:00:20,82.13,84.68,,,29470,96.0587,28,4336,6.9
qsvVRxnjudA,26 January Wala Chappri 🤣,"Jan 24, 2026",36,0:00:26,82.02,72.54,,,12805,60.8062,16,6051,1.17
nG9J76XbKsg,Ye Kya Hua 🤣,"Dec 26, 2025",31,0:00:26,81.99,84.46,,,31490,144.1965,134,9771,1.87
xMkExdozwkM,Biggest Chappri Is Back Pt-2 🤣,"Nov 10, 2025",29,0:00:25,81.95,87.74,,,30628,123.5744,78,4943,5.79
qR0lAqGHoIA,aquaphobia 😂 #shorts,"Dec 29, 2024",45,0:00:30,81.91,68.25,,,10425,88.7648,3,706,1.56
7OB56dzyL1o,Tiktok Ke No 1 Chappri 🤣,"Nov 30, 2025",34,0:00:27,81.76,82.1,,,47083,232.4312,88,4539,5.24
41Ub5jt5Uzc,Hakla Haircut Kara Liya 🤣,"Dec 17, 2025",33,0:00:28,81.71,85.07,,,26691,131.5206,47,7256,5.82
56ec8cpaJrY,Biggest Cringe Pro Max 🤣,"Dec 6, 2025",30,0:00:23,81.51,78.46,,,25421,109.4884,28,2509,3.43
 --p73ZJqqto,Most Beautiful Girl 🤣,"Mar 31, 2026",29,0:00:24,81.5,83.55,,,28003,111.5071,45,5085,8.91
nOOrdyIYsP0,Chappri Handsome Damad 🤣,"Dec 3, 2025",29,0:00:24,81.5,84.59,,,26726,111.8471,25,2531,2.29
CwSSyxjLIgw,Tanya Mittal Reality 🤯,"Sep 15, 2025",40,0:00:28,81.39,70.01,,,12503,58.8225,10,2574,4.27
4xCDaWHR0Z8,Tiktok Ke No 1 Chappri Is Back 🤣,"Dec 8, 2025",37,0:00:27,81.24,73.63,,,24150,122.4275,44,3204,1.47
GhZYQ9ekAUg,kajal sejal dark-8 #shorts,"Dec 12, 2024",28,0:00:15,81.13,56.72,,,301,1.3279,0,646,19.97
xo4NMNYYyQo,Wanna Be Chappri 🤣,"Dec 11, 2025",40,0:00:29,81.06,74.27,,,14262,80.239,14,3017,5.34
 -JpXh_UhbvI,Best Makeup Transition 🤣,"Oct 2, 2025",33,0:00:28,80.97,86.93,,,18220961,84421.023,31212,270430,13.69
YXJHQSnvYPI,Biggest Kabutarbaz Chappri 🤣,"Dec 13, 2025",33,0:00:26,80.85,79.57,,,14511,69.1713,70,3279,1.49
jIAyYNzf9Z0,Power Of Makeup 2 🤣,"Jan 10, 2026",33,0:00:27,80.82,82.61,,,3103084,14538.242,5583,13115,3.89
eUh1JNsFk2o,kajal pandey dark comedy #shorts,"Jan 13, 2025",26,0:00:18,80.65,72.7,,,6296,32.7945,21,2328,3.95
gzSiCL_cBFo,Ye Kya Dekh Liya 🤣,"Dec 14, 2025",34,0:00:27,80.59,79.9,,,29489,124.9137,22,3859,2.8
IPsLaBvk9F4,Puneet Superstar Secret 🤣,"Oct 20, 2025",37,0:00:30,80.58,83.06,,,31617,162.6313,79,12726,4.14
9mKvKNKTgu0,Chappri Nibba Nibbi 🤣,"Dec 10, 2025",35,0:00:25,80.56,72.59,,,24380,114.8671,8,4009,3.07
OkA3yODYZO0,Weeding Gone Wrong 🤣,"Oct 27, 2025",31,0:00:26,80.55,84.02,,,23875,101.82,43,5586,2.51
gO5Jp1IM9rE,Funniest Hair Style Ever 🤣,"Oct 16, 2025",30,0:00:26,80.53,89.4,,,32323,131.7205,57,9576,2.59
iF8RPWqupoU,Tattoo Lover Transition 🤣,"Oct 26, 2025",31,0:00:27,80.45,87.43,,,31106,133.7907,44,5870,3.85
KsGf1kRTK0o,Finally Face Reveal 🤣,"Nov 4, 2025",31,0:00:24,80.43,78.83,,,29173,115.5112,41,4822,2.59
3myZ5ptfbiQ,Haldi Trend Gone Wrong 🤣,"Jun 23, 2025",54,0:00:33,80.39,62.79,,,24876,151.2393,56,4858,3.36
uBUbKzFIIq4,Best Makeup Transition-2 🤣,"Nov 8, 2025",31,0:00:22,80.23,74.14,,,27909,116.3134,59,4525,7.09
O171asa9vmU,the solution 💀 #shorts,"Dec 4, 2024",22,0:00:24,80.19,112.13,,,16787,114.556,16,2185,4.53
XjkGwumh2l4,Weirdest Street Food 🤣,"Mar 24, 2026",37,0:00:25,80.17,68.89,,,17726,85.3835,561,4285,8.87
VmXwq8xeLyw,Saurav Joshi Marriage Exposed 🤯,"Sep 17, 2025",36,0:00:25,80.07,71.9,,,24749,114.1323,33,4415,3.19
GcdXLkMX4pk,Virat Kohli Ka Duplicate 🤣,"Jan 13, 2026",38,0:00:28,79.98,74.24,,,24291,117.6685,25,7937,8.39
ahqq93J7Osw,Biggest Makeup Transition 🤣,"Oct 25, 2025",35,0:00:30,79.91,86.35,,,27416,143.5315,50,5677,4.54
prSakE3nrbE,puneet's favourite food #shorts,"Nov 29, 2024",22,0:00:16,79.76,76.11,,,2365,10.9494,2,1187,1.01
NKZtMAsqzLk,Power Of Makeup 6 🤣,"May 29, 2026",32,0:00:26,79.72,83.39,,,29239,122.4124,82,3781,3.46
uUl-GazDFDI,Best Makeup Transition 3 🤣,"Nov 28, 2025",29,0:00:24,79.67,85.9,,,41632,174.7888,37,4446,6.64
HpYduSoYuEg,New Chapri Is Back 🤣,"Oct 31, 2025",32,0:00:27,79.55,85.35,,,31803,134.4902,76,5253,6.26
kXW6kufpXpM,Puneet Superstar Crazy Food 🤣,"Nov 9, 2025",22,0:00:21,79.5,96.2,,,32895,104.3558,35,4840,4.26
79SNsC2S3JQ,Paisa Kamane Ka Technologia 🤣,"Jan 7, 2026",32,0:00:25,79.49,79.3,,,348475,1456.5817,977,9776,5.02
l_ch_LxEqlM,Biggest Chapri 🤣,"Oct 14, 2025",35,0:00:27,79.45,79.58,,,29455,133.5787,82,11676,4.46
TWYPuavC7R4,Biggest Chappri Is Back Again 🤣,"Nov 24, 2025",32,0:00:26,79.38,82.54,,,39864,170.0183,83,4803,7.25
oxSZzgBZK6U,Kajal Roast Devika Gupta 😂,"Jun 25, 2025",42,0:00:32,79.29,77.82,,,342752,1962.4774,634,1905340,4.28
Cjo9nEgmXeA,Ye Dikh Raha Kya 🤣,"Dec 27, 2025",28,0:00:21,79.28,75.74,,,28279,109.3221,41,11140,1.17
K017Q9tgi8M,Biggest Nibba Nibbi Ki Shadi 🤣,"Nov 25, 2025",27,0:00:23,79.27,86.36,,,29558,111.056,41,4491,4.39
Vu2MgFsIv5A,Best Karwa Chauth Of Nibbi 🤣,"Oct 10, 2025",35,0:00:22,79.26,63.39,,,23206,102.0946,25,11396,3.65
GlvUKA8L0fM,Puneet Vs Elvish 🤣,"Dec 21, 2025",37,0:00:29,79.18,78.77,,,18089,95.677,44,4476,1.81
caU7ljeXYDg,Iphone User Transition 🤣,"Nov 4, 2025",37,0:00:30,79.15,81.67,,,28099,140.4288,22,4435,2.21
z0IxmZbaZOE,Free Fire Vs BGMI 🤣,"Nov 6, 2025",33,0:00:27,79.1,84.18,,,28131,135.2092,221,5213,5.41
edzoLoXADsg,Best Makeup Transition Final 🤣,"Dec 28, 2025",36,0:00:30,79.05,83.61,,,20662,113.3766,46,12851,4.87
2vQKcL1ey1Y,The Power Of Body 🤣,"Oct 8, 2025",34,0:00:26,79.04,77.66,,,28134,126.3827,75,6075,6.29
AVLf301YxRY,Inke Bacche Ho Gye 🤣,"Dec 21, 2025",39,0:00:28,79.02,71.81,,,21442,108.4322,55,4664,2.44
SgBKnNlf8oY,Ye Mat Dekhna 🤣,"Dec 23, 2025",29,0:00:22,78.91,78.12,,,21864,87.0291,31,5183,1.33
f91XbOJVvLM,Best Food Lover Part 2 🤣,"Jun 10, 2026",36,0:00:31,78.86,74.67,,,26759,141.2819,292,2504,10.26
4LR5yz2iHHE,Sasta Policewala 🤣,"Feb 9, 2026",31,0:00:26,78.69,84.8,,,30895,130.0209,258,7554,2.97
PlPhYxJXG2k,Power Of Tattoo 🤣,"Mar 1, 2026",30,0:00:23,78.68,78.79,,,48538,205.7533,1165,9160,5.85
9VD50-nlovo,sejal exx vlog reaction 🙄 #treanding #comedy,"Nov 10, 2024",25,0:00:18,78.58,72.61,,,14715,73.6503,18,4115,8.12
te2AlX_5npk,Shirf Ek Apna Bhai 🤣,"Jan 12, 2026",25,0:00:19,78.51,76.47,,,26346,92.1301,19,7582,9.55
XA9KQ1UH1tU,costume cutter-3 #shorts,"Dec 11, 2024",48,0:00:32,78.51,65.48,,,13115,116.29,3,2924,1.23
Y_3rwItVFWk,kajal sejal dark-16 #shorts,"Jan 7, 2025",42,0:00:19,78.43,46.69,,,132,0.6564,0,848,4.36
QUlE-jDIbjc,Rise And Fall Pawan Singh 🔥,"Sep 13, 2025",37,0:00:32,78.42,88.33,,,17681,101.0753,27,2793,1.29
drrUIiYWGEw,kajal sejal dark-10 #shorts,"Dec 22, 2024",35,0:00:25,78.39,72.65,,,15333,107.8188,46,2502,3.04
ANrSnZ135cs,Biggest Chappri Is Back 🤣,"Oct 23, 2025",33,0:00:27,78.38,84.67,,,46577,206.5723,113,9583,6.73
9AtvTl_m2mk,Papa Ka Para 🤣,"Nov 19, 2025",31,0:00:26,78.38,84.66,,,257,1.073,1,404,22.03
kaP5VvJl6NE,Making Fun On Hindu,"Mar 9, 2025",25,0:00:16,78.38,65.87,,,111,0.4033,0,701,5.71
LAtPqalrlY0,Chahiye Kya aurat ko 🤣,"Nov 29, 2025",33,0:00:27,78.36,83.13,,,27960,133.7287,77,3210,4.11
hNMP7s8TeeM,Best Maggi Transition 🤣,"Oct 11, 2025",37,0:00:27,78.04,73.11,,,28276,128.9895,46,6918,2.17
ouIKvI7RZYc,Bro Turned Into Barbie 🤣,"Oct 19, 2025",36,0:00:29,78.03,82.37,,,28923,142.0816,41,7844,4
19J7SNSZckI,Going To SRK House 🤣,"Feb 5, 2026",32,0:00:27,77.96,85.5,,,22719,113.612,22,6756,1.15
ancae4TrdQY,Tiktok Ke No 1 Couple 🤣,"Dec 6, 2025",24,0:00:20,77.85,86.06,,,7554,23.7109,6,2614,3.86
ZquXbroAkxE,7 Crore 🤣,"Feb 25, 2026",32,0:00:26,77.62,81.41,,,14793,68.0979,121,7673,1.69
cabD0B90ZZ8,Masterplan Of Muskan Karia 🤩,"Oct 1, 2025",47,0:00:31,77.55,66.95,,,4737,26.0122,4,9217,4.49
PKlebzaaLB8,Power Of Overacting 🤣,"Jun 19, 2026",39,0:00:29,77.51,75.38,,,221602,1062.9081,2587,1336,11.83
yGvOjxQBtv4,kajal sejal dark-14 #shorts,"Jan 6, 2025",36,0:00:21,77.51,59.68,,,4289,25.4541,6,1516,4.02
aHm0UYEfJu8,Sourav Joshi Masterplan Exposed 😱,"Sep 4, 2025",32,0:00:26,77.37,83.1,,,38549,158.3738,41,3961,2.07
U5Bj1jemQMY,atma katha ❌ johnny sins katha ✅ #shorts,"Dec 9, 2024",20,0:00:18,77.36,90.3,,,3361,16.7849,1,1748,0.29
7-V_c5bpUp4,Payal Gaming Ka Roast 🤣,"Dec 17, 2025",25,0:00:18,77.34,75.29,,,36659,128.0477,8,124859,13.84
UwMqUWQzDSg,strength is mouth #shorts,"Dec 9, 2024",28,0:00:18,77.32,66.88,,,5901,30.6769,2,858,0
s65iwOZtDPs,Best Makeup Fail Ever 🤣,"Oct 21, 2025",37,0:00:27,77.25,75.4,,,31289,144.2125,45,9134,8.32
EYwUjOFbrC8,Power Of Makeup 4 🤣,"Feb 23, 2026",27,0:00:22,77.11,84.92,,,164024,596.3629,2922,9599,4.97
uUIYsx4QyXc,Biggest Chappri Is Live 🤣,"Dec 19, 2025",34,0:00:25,76.95,73.99,,,7589,34.1073,20,3634,1.6
HeZ-PLl2YX0,Chappri Doctor 🤣,"Mar 26, 2026",39,0:00:25,76.93,65.65,,,6649,30.408,53,1030,14.27
8s8zpBTq0CQ,Dukan Kharid Liya 🤣,"Dec 28, 2025",28,0:00:24,76.86,86.8,,,5354579,20097.9031,12519,19501,3.62
hbTGWNYIxrM,Facts Roast Sejal exx,"Mar 4, 2025",33,0:00:16,76.59,51.08,,,3090,14.2364,3,1024,4.1
D0t2n32m_50,Gobar Ki Roti Kha Li 🤣,"Nov 14, 2025",30,0:00:27,76.47,90.37,,,198418,839.7762,1632,13614,9.13
ymlbjzJAMDw,Time to Make TikTok Videos 🤑,"Aug 28, 2025",38,0:00:28,76.47,75.97,,,24,0.1056,0,43,13.95
MpqSIiBZ57Y,Cringe Kajal Pandey Roast,"Mar 25, 2025",38,0:00:21,76.39,57.41,,,1180,6.6861,5,1264,5.3
6cyAhlPIDfQ,mental sheeer #shorts,"Nov 26, 2024",21,0:00:12,76.29,61.65,,,3553,12.7574,1,1699,1.18
Ur5gW1TxO6k,Best Food Lover 🤣,"Jun 3, 2026",36,0:00:26,76.23,73.12,,,362232,1549.2525,12060,4035,7.76
HbHrQo9AENQ,Biggest Chappri 🤣,"Nov 21, 2025",26,0:00:22,76.19,88.45,,,3076,10.7231,3,4632,5.48
982QH8yw4TI,Korean Boy Scam 🤣,"Dec 20, 2025",28,0:00:24,76.06,88.91,,,29654,119.0778,36,4263,4.46
Tw04ZbnTZTI,Girls In Holi 🤣,"Mar 7, 2026",31,0:00:23,76,75.53,,,64795,257.1214,3437,8661,3.98
uXRF15-rtt4,Tanya Mittal Roast Pawan Singh 😡,"Sep 26, 2025",41,0:00:29,75.93,71.94,,,16045,75.0913,11,6590,3.32
6vqw87ckxJs,kajal sejal dark-6 #shorts,"Dec 3, 2024",25,0:00:16,75.87,66.89,,,443,1.9401,1,1096,10.95
EbIxTsYauFU,Worst Makeup Transition 🤣,"Oct 13, 2025",35,0:00:23,75.76,66.66,,,23299,93.4424,22,7547,3.76
Ufve2taP5lI,Kajal Pandey Be Like 🤣,"Oct 15, 2025",33,0:00:27,75.64,82.22,,,32352,138.3542,39,11729,3.72
REgEyz0tV3s,Power Of Dance 🤣,"Mar 5, 2026",31,0:00:21,75.57,70.13,,,23092,90.7373,368,7753,3.12
xxyc_6hhJRw,kajal sejal dark comedy-2 #shorts,"Jan 14, 2025",29,0:00:18,75.56,62.98,,,273,1.0802,1,1810,5.3
njTwHJhhZ20,Best School Technologia 🤣,"Nov 11, 2025",27,0:00:24,75.55,90.65,,,29377,120.4373,77,4857,2.49
i57IYmUDNbA,Ishaan Ali Without Filter 😂,"Sep 29, 2025",48,0:00:32,75.49,67.01,,,7899,41.9204,21,7968,2.65
JPl9QwfCVqs,Starving For Iphone Flex 😭,"Sep 20, 2025",35,0:00:24,75.38,70.54,,,9886,40.7666,6,6392,1.75
vVTurfA-ceM,Pakistan K Gujjar 😅,"May 3, 2026",37,0:00:31,75.27,84.37,,,14826,81.4962,24,3480,3.28
1U7YqHV2FJI,Sourav Joshi Ki Real Wife 🤣,"Nov 18, 2025",28,0:00:24,75.2,88.53,,,29815,117.3492,23,6724,4.95
EOgZpmuR8Zs,Half Krish 🤣,"Feb 27, 2026",30,0:00:20,75.12,68.02,,,15206,55.9181,170,8414,3.95
BS-60GAXbG4,Day 1🏋,"Apr 13, 2024",47,0:00:40,75,86.53,,,30,0.3389,0,58,27.59
AMoJUCVkXxE,dancing car story-3 😂 #shorts,"Dec 28, 2024",47,0:00:24,74.94,51.89,,,5695,38.5134,1,670,0.9
yMpzTGnGfcQ,Didi Ko Boyfriend Caheye 🤣,"Dec 26, 2025",31,0:00:25,74.94,83.18,,,19651,82.6607,20,9049,1.29
FZUjIyOiVeQ,Bindas Kavya Pose 🥵,"Jun 8, 2025",52,0:00:39,74.89,75.98,,,32663,207.3741,35,5084,5.49
VdFZG2AXIkY,Babu Ka Surprise 🤣,"Aug 27, 2025",58,0:00:30,74.68,52.73,,,3217,17.1549,9,1984,4.59
MIdFMYwQUbg,Painful Reality Of Ganpati Visarjan 😡,"Sep 5, 2025",37,0:00:29,74.33,79.2,,,31778,140.3663,104,2757,1.27
jTLLEjD8CMs,Indian TV Serials 🤣,"Nov 13, 2025",27,0:00:21,74.19,79.97,,,9619,33.3279,55,6371,2.26
o0AQBooY9ss,Dil Chura Liya 🤣,"Jan 8, 2026",32,0:00:27,74.15,87.22,,,33223,138.1533,76,8064,3.71
3nU-MA7RTJw,Biwi No 1 🤣,"Nov 22, 2025",29,0:00:21,73.89,74.72,,,65165,249.1126,59,6018,6.51
Kn30HRCp4wc,brown rang reaction #shorts,"Dec 9, 2024",22,0:00:16,73.85,75.31,,,4435,20.3623,2,2187,0.5
zDztqMZLb94,Best Nibba Nibbi Pro Max 🤣,"Nov 12, 2025",37,0:00:32,73.78,86.89,,,7669,37.0868,14,4760,1.74
B5a0iK1k7p0,Reality Of Some Indian,"Apr 27, 2025",41,0:00:30,73.77,73.41,,,4484,24.054,9,1646,1.64
PsyRPgo1Ya8,Desh Ki Beti,"Feb 27, 2025",29,0:00:18,73.7,65.31,,,951,4.9147,1,708,3.81
Q9rPQJRv7Jo,Power Of Singing 🤣,"Mar 18, 2026",38,0:00:29,73.51,77.82,,,26467,133.8327,895,5918,3.51
heI7HaCijyw,Ye Nahi Sudhregi 😱,"May 8, 2026",42,0:00:34,73.48,81.36,,,28680,151.6878,38,4600,1.61
21HdGyxaHao,Valgar Content Roast 🤯,"Aug 29, 2025",51,0:00:36,73.38,71.21,,,14984,89.3898,34,2488,2.17
_eEZEbjLu1E,kajal sejal dark-4 #shorts,"Nov 30, 2024",20,0:00:16,73.37,82.39,,,36287,164.8261,61,5804,9.8
drYi8M7VOFE,Best Of Bindas Kavya 😁,"Jun 16, 2025",58,0:00:40,73.31,70.44,,,23273,152.3866,25,2470,2.31
dujnD0TPuJQ,Chor Police 🤣,"Oct 5, 2025",33,0:00:28,73.23,85.61,,,16969,78.407,75,11174,4.59
LT12dzGQO8o,Kajal Sejal Viral 😱,"May 21, 2025",51,0:00:23,72.95,46.32,,,10282,49.1317,10,2904,6.44
m3gKir9qaKw,Chocolate Chor 😱,"Feb 17, 2026",32,0:00:22,72.9,71.44,,,17876,70.0737,106,7017,1.64
5L3S_Cu6_ZA,Best Chai Transition 🤣,"Oct 7, 2025",32,0:00:25,72.9,80.13,,,24836,101.9741,65,7686,4.19
SeGncaHNe2o,Sasta Korean Look 😂,"Apr 29, 2026",34,0:00:25,72.84,73.94,,,11858,49.1512,12,2804,2.28
GlTloA1mGBE,Power Of Makeup 5 🤣,"Mar 22, 2026",39,0:00:30,72.73,77.76,,,39062,204.8067,1004,5807,5.99
BUyn6-mXh6Y,Kajal Pandey Roast 🤣,"Aug 28, 2025",50,0:00:23,72.73,47.63,,,27,0.1094,0,31,25.81
6N0cs1TTakA,Bindas Kavya Burn 😱,"Jun 2, 2025",60,0:00:43,72.71,72.71,,,28688,193.7319,32,3455,5.09
00swnhBS_sA,sejal kajal dark #shorts,"Nov 20, 2024",28,0:00:17,72.66,61.15,,,5477,25.2379,7,4895,11.03
NRCMveEFTd4,ravi kishan on samay😡 #shorts,"Feb 23, 2025",51,0:00:19,72.61,38.08,,,462,2.383,0,700,0.71
Vkk4b1GupaA,Bindas Kavya Exposed 😡,"Sep 11, 2025",35,0:00:24,72.54,69.39,,,13856,53.0775,10,2120,3.25
cczIDTn0Dko,kajal sejal dark queen #shorts,"Nov 22, 2024",30,0:00:18,72.45,60.97,,,1053,5.3019,3,1882,8.66
3CVIydheK_w,Pakistani Lendi 🤣,"Mar 29, 2026",30,0:00:22,72.33,75.8,,,4837,17.8711,6,4212,2.64
1396iYFCaV8,kajal sejal dark-5 #shorts,"Nov 30, 2024",25,0:00:14,72.27,57.26,,,1116,4.369,3,1832,6.99
HT1_y9LfX4E,When She Tries To Be Cute 😳,"Sep 1, 2025",50,0:00:26,72.22,53.99,,,22,0.0995,0,52,13.46
NLJuYAn2QV8,Rolls royce ❌️ Roj Royal✅️,"Mar 28, 2024",11,0:00:10,72.2,90.92,,,4593,12.7343,1,1148,1.92
9LfV2Z8XS6g,Chappri In Oyo 🤣,"Feb 8, 2026",35,0:00:27,72.06,78.28,,,29342,124.1046,145,7351,5.56
x78jVOyeygc,dhruv rathee reality! 😱 #shorts #dhruvrathee,"May 5, 2024",53,0:00:36,72,69.27,,,55,0.5609,0,70,1.43
zDVoByMIiu4,Pookie Baba Roast 🤣,"Feb 14, 2026",41,0:00:28,71.95,70.28,,,27359,131.2797,132,7887,3.14
WnUZnB_B_5w,Abhinav Arora EXPOSED 😡,"Sep 8, 2025",37,0:00:26,71.91,71.8,,,8993,41.7316,4,2842,1.79
XAj7Vth3rQw,☠️ #shorts,"Dec 2, 2024",23,0:00:14,71.91,63.56,,,2756,11.1655,1,1359,2.21
usXZZlbOw8w,Chappri Holi 🤣,"Mar 9, 2026",36,0:00:23,71.89,66.29,,,28635,116.5022,721,8677,7.11
NgGGLL58dHo,The 50 Show Ka Chappri 🤣,"Feb 6, 2026",49,0:00:35,71.88,72.12,,,17918,112.37,33,7115,5.35
TXg4umvUtvE,request to ‎@CarryMinati #shorts,"Nov 21, 2024",35,0:00:14,71.87,42.23,,,910,3.7287,0,1005,1.39
2Qs7QcrigtY,Overacting Unlimited 🤣,"Nov 5, 2025",35,0:00:29,71.83,85.54,,,27924,137.173,108,5313,6.51
WncMt9xZdL0,Cringe Level 1000 🤣,"Oct 22, 2025",32,0:00:24,71.74,77.6,,,30533,118.1819,42,7540,4.47
